scope,provider,evidence_view,records,accuracy_all_records,accuracy_evaluable_subset,coverage,macro_precision,macro_recall,macro_f1
overall,ALL,FIRST_FAILURE,144,0.4375,0.4405594405594406,0.9930555555555556,0.358974358974359,0.4375,0.34398034398034394
overall,ALL,RETRY_HISTORY,144,0.5138888888888888,0.5211267605633803,0.9861111111111112,0.7279807419994335,0.5138888888888888,0.4932285764649593
overall,ALL,FULL_EVIDENCE,144,0.5347222222222222,0.5422535211267606,0.9861111111111112,0.7481822836661546,0.5347222222222222,0.4854802680565897
provider,deepseek,FIRST_FAILURE,48,0.3958333333333333,0.3958333333333333,1.0,0.30484330484330485,0.3958333333333333,0.303030303030303
provider,deepseek,RETRY_HISTORY,48,0.5208333333333334,0.5208333333333334,1.0,0.7047619047619048,0.5208333333333334,0.5097522539977782
provider,deepseek,FULL_EVIDENCE,48,0.5208333333333334,0.5208333333333334,1.0,0.7449494949494949,0.5208333333333334,0.4537456008044243
provider,dashscope,FIRST_FAILURE,48,0.5208333333333334,0.5208333333333334,1.0,0.3851540616246498,0.5208333333333334,0.4222222222222222
provider,dashscope,RETRY_HISTORY,48,0.625,0.625,1.0,0.7442528735632185,0.625,0.6245916724177594
provider,dashscope,FULL_EVIDENCE,48,0.5833333333333334,0.5957446808510638,0.9791666666666666,0.7307692307692308,0.5833333333333334,0.5576211894052974
provider,moonshot,FIRST_FAILURE,48,0.3958333333333333,0.40425531914893614,0.9791666666666666,0.4545454545454546,0.3958333333333333,0.2830409356725146
provider,moonshot,RETRY_HISTORY,48,0.3958333333333333,0.41304347826086957,0.9583333333333334,0.4573643410852713,0.3958333333333333,0.28605411834671424
provider,moonshot,FULL_EVIDENCE,48,0.5,0.5106382978723404,0.9791666666666666,0.8034188034188033,0.5,0.43605363093854144
