actual_class,evidence_view,records,correct,incorrect,non_evaluable,recall_all_records,coverage
AGENT_ERROR,FIRST_FAILURE,48,18,29,1,0.375,0.9791666666666666
AGENT_ERROR,RETRY_HISTORY,48,17,29,2,0.3541666666666667,0.9583333333333334
AGENT_ERROR,FULL_EVIDENCE,48,25,22,1,0.5208333333333334,0.9791666666666666
TRANSIENT_FAILURE,FIRST_FAILURE,48,0,48,0,0.0,1.0
TRANSIENT_FAILURE,RETRY_HISTORY,48,13,35,0,0.2708333333333333,1.0
TRANSIENT_FAILURE,FULL_EVIDENCE,48,6,41,1,0.125,0.9791666666666666
PERSISTENT_DRIFT,FIRST_FAILURE,48,45,3,0,0.9375,1.0
PERSISTENT_DRIFT,RETRY_HISTORY,48,44,4,0,0.9166666666666666,1.0
PERSISTENT_DRIFT,FULL_EVIDENCE,48,46,2,0,0.9583333333333334,1.0
