provider,records,repair_count,repair_rate,first_pass_schema_valid,first_pass_schema_valid_rate,final_schema_valid,final_schema_valid_rate,repair_success,repair_success_rate,repair_non_evaluable,semantic_comparable_repairs,semantic_changed_core_class,semantic_changed_rate_comparable,extra_input_tokens,extra_output_tokens,extra_latency_ms,extra_cost_cny,mean_extra_input_tokens_per_repair,mean_extra_output_tokens_per_repair,mean_extra_latency_ms_per_repair,mean_extra_cost_cny_per_repair
dashscope,144,87,0.6041666666666666,57,0.3958333333333333,143,0.9930555555555556,86,0.9885057471264368,1,86,1,0.011627906976744186,744652,16041,432417.6283350025,1.6176319999999893,8559.218390804597,184.3793103448276,4970.317567068994,0.018593471264367695
deepseek,144,1,0.006944444444444444,143,0.9930555555555556,144,1.0,1,1.0,0,1,1,1.0,8218,90,1535.1930830001947,0.008582755999998613,8218.0,90.0,1535.1930830001947,0.008582755999998613
moonshot,144,80,0.5555555555555556,63,0.4375,140,0.9722222222222222,77,0.9625,3,77,6,0.07792207792207792,639274,12012,364710.73220799374,3.019239120000007,7990.925,150.15,4558.884152599921,0.037740489000000085
