provider,records,accuracy_all_records,accuracy_evaluable_subset,macro_f1,coverage,input_tokens,output_tokens,network_attempts,format_repairs,cost_cny,cost_per_record_cny,cost_per_evaluable_record_cny,cost_per_correct_record_cny,tokens_per_correct_record,repairs_per_100_records,near_timeout_records_ge_90pct,timeout_exceeded_records,near_or_exceeded_timeout_records,latency_ms_mean,latency_ms_median,latency_ms_p90,latency_ms_p95,latency_ms_max,latency_ms_q1,latency_ms_q3,latency_ms_iqr,latency_ms_tukey_high_cutoff,latency_ms_high_outlier_records
deepseek,144,0.4791666666666667,0.4791666666666667,0.4351719728934919,1.0,1165750,27976,150,1,1.2485794440000006,0.008670690583333338,0.008670690583333338,0.018095354260869573,17300.376811594204,0.6944444444444444,2,2,"[{'record_id': 'e47d1db5fb95616ca490aafc', 'family': 'M10', 'variant': 'TF', 'evidence_view': 'FULL_EVIDENCE', 'latency_ms': 124673.47495899958, 'threshold_status': 'EXCEEDED_TIMEOUT'}, {'record_id': 'f9a590d0cb9c41d53917f128', 'family': 'M10', 'variant': 'PD', 'evidence_view': 'FIRST_FAILURE', 'latency_ms': 246098.27199999927, 'threshold_status': 'EXCEEDED_TIMEOUT'}]",6190.986890604235,3121.090896500391,3794.103025000732,4015.1328249996363,246098.27199999927,2782.4842497502686,3453.1141557508818,670.6299060006131,4459.059014751801,5
dashscope,144,0.5763888888888888,0.5804195804195804,0.5468909973430162,0.9930555555555556,1918104,49434,231,87,4.23167999999999,0.0293866666666666,0.029592167832167764,0.05098409638554205,23705.277108433736,60.416666666666664,0,0,[],8998.111369250057,10235.089875503036,12280.496837700777,12682.443430550482,14967.355875003705,5827.022374500302,11086.016740003288,5258.994365502986,18974.508288257766,0
moonshot,144,0.4305555555555556,0.44285714285714284,0.3395899908861227,0.9722222222222222,1711130,44033,224,80,8.298351650000003,0.057627442013888905,0.059273940357142875,0.13384438145161295,28309.08064516129,55.55555555555556,0,0,[],9218.576699347195,8872.744374999456,14143.802345700902,15025.211227697218,26351.619458997448,5819.21654125199,11803.46440500125,5984.24786374926,20779.83620062514,2
